Date,sp500EPS
1946-01-01,0.940010433
1946-02-01,0.9200611
1946-03-01,0.899897331
1946-04-01,0.880188679
1946-05-01,0.860165593
1946-06-01,0.839963834
1946-07-01,0.856668249
1946-08-01,0.873211643
1946-09-01,0.889740566
1946-10-01,0.946726573
1946-11-01,1.003415301
1946-12-01,1.060266293
1947-01-01,1.130014859
1947-02-01,1.199696279
1947-03-01,1.269681742
1947-04-01,1.327272727
1947-05-01,1.382835101
1947-06-01,1.439379243
1947-07-01,1.47659176
1947-08-01,1.512720157
1947-09-01,1.549382716
1947-10-01,1.570121951
1947-11-01,1.590625
1947-12-01,1.609207709
1948-01-01,1.644124169
1948-02-01,1.676575505
1948-03-01,1.710526316
1948-04-01,1.76
1948-05-01,1.810538117
1948-06-01,1.860619469
1948-07-01,1.929494712
1948-08-01,2
1948-09-01,2.070959264
1948-10-01,2.144370861
1948-11-01,2.215942029
1948-12-01,2.291101056
1949-01-01,2.320241692
1949-02-01,2.348171701
1949-03-01,2.381789137
1949-04-01,2.386217949
1949-05-01,2.391585761
1949-06-01,2.400343643
1949-07-01,2.396103896
1949-08-01,2.392801252
1949-09-01,2.390432099
1949-10-01,2.368107303
1949-11-01,2.344978166
1949-12-01,2.319775596
1950-01-01,2.337950139
1950-02-01,2.354309166
1950-03-01,2.370218579
1950-04-01,2.427210884
1950-05-01,2.481830417
1950-06-01,2.539295393
1950-07-01,2.601796407
1950-08-01,2.659451659
1950-09-01,2.721825963
1950-10-01,2.759722222
1950-11-01,2.800847458
1950-12-01,2.841726619
1951-01-01,2.835561497
1951-02-01,2.835051546
1951-03-01,2.831151832
1951-04-01,2.792356688
1951-05-01,2.755025126
1951-06-01,2.720959596
1951-07-01,2.648550725
1951-08-01,2.580608794
1951-09-01,2.511229947
1951-10-01,2.487752929
1951-11-01,2.463123644
1951-12-01,2.441084463
1952-01-01,2.426278837
1952-02-01,2.413617886
1952-03-01,2.400201613
1952-04-01,2.38114343
1952-05-01,2.358846918
1952-06-01,2.339731286
1952-07-01,2.346117867
1952-08-01,2.353271028
1952-09-01,2.36
1952-10-01,2.373776908
1952-11-01,2.386081983
1952-12-01,2.4
1953-01-01,2.4106814
1953-02-01,2.419083255
1953-03-01,2.428971963
1953-04-01,2.456262425
1953-05-01,2.484
1953-06-01,2.51048218
1953-07-01,2.522326064
1953-08-01,2.53798127
1953-09-01,2.548740416
1953-10-01,2.536507937
1953-11-01,2.523171988
1953-12-01,2.510616785
1954-01-01,2.523290387
1954-02-01,2.536062378
1954-03-01,2.549904031
1954-04-01,2.572625698
1954-05-01,2.597649186
1954-06-01,2.62081448
1954-07-01,2.622280244
1954-08-01,2.626495726
1954-09-01,2.629598662
1954-10-01,2.677204659
1954-11-01,2.723127036
1954-12-01,2.770998415
1955-01-01,2.834394904
1955-02-01,2.896850394
1955-03-01,2.96025953
1955-04-01,3.047619048
1955-05-01,3.133333333
1955-06-01,3.221052632
1955-07-01,3.293981481
1955-08-01,3.367460317
1955-09-01,3.439875873
1955-10-01,3.500415628
1955-11-01,3.55898654
1955-12-01,3.620909816
1956-01-01,3.642739274
1956-02-01,3.665841584
1956-03-01,3.68997669
1956-04-01,3.659558264
1956-05-01,3.630265211
1956-06-01,3.60077821
1956-07-01,3.552804079
1956-08-01,3.506146059
1956-09-01,3.459379616
1956-10-01,3.443037975
1956-11-01,3.427715356
1956-12-01,3.40969163
1957-01-01,3.405547226
1957-02-01,3.404072044
1957-03-01,3.4
1957-04-01,3.407715582
1957-05-01,3.41210795
1957-06-01,3.420863309
1957-07-01,3.435552408
1957-08-01,3.45440844
1957-09-01,3.471191792
1957-10-01,3.436666667
1957-11-01,3.402192243
1957-12-01,3.369256475
1958-01-01,3.292233787
1958-02-01,3.215900234
1958-03-01,3.140193885
1958-04-01,3.070340827
1958-05-01,2.999313658
1958-06-01,2.930582842
1958-07-01,2.913814956
1958-08-01,2.896174863
1958-09-01,2.88
1958-10-01,2.883418223
1958-11-01,2.886201209
1958-12-01,2.889789303
1959-01-01,2.963239212
1959-02-01,3.036031042
1959-03-01,3.109634551
1959-04-01,3.206064009
1959-05-01,3.302564103
1959-06-01,3.4
1959-07-01,3.409817352
1959-08-01,3.419689119
1959-09-01,3.430547204
1959-10-01,3.417266187
1959-11-01,3.402497027
1959-12-01,3.390355913
1960-01-01,3.389602804
1960-02-01,3.390881459
1960-03-01,3.390018484
1960-04-01,3.347147147
1960-05-01,3.302631579
1960-06-01,3.260820046
1960-07-01,3.263588545
1960-08-01,3.266473988
1960-09-01,3.270286396
1960-10-01,3.270237371
1960-11-01,3.270636792
1960-12-01,3.270005757
1961-01-01,3.210752688
1961-02-01,3.149442756
1961-03-01,3.090120482
1961-04-01,3.070429104
1961-05-01,3.050458716
1961-06-01,3.029547553
1961-07-01,3.036658933
1961-08-01,3.044005388
1961-09-01,3.050340136
1961-10-01,3.096539162
1961-11-01,3.143741707
1961-12-01,3.189862161
1962-01-01,3.250352941
1962-02-01,3.310702499
1962-03-01,3.369606903
1962-04-01,3.4025
1962-05-01,3.43644299
1962-06-01,3.47036806
1962-07-01,3.490808824
1962-08-01,3.5104979
1962-09-01,3.530127815
1962-10-01,3.577707006
1962-11-01,3.623415812
1962-12-01,3.669595782
1963-01-01,3.68403171
1963-02-01,3.697139652
1963-03-01,3.710169492
1963-04-01,3.753275109
1963-05-01,3.797509475
1963-06-01,3.839539978
1963-07-01,3.880337079
1963-08-01,3.919381557
1963-09-01,3.95923913
1963-10-01,3.979836512
1963-11-01,3.998898678
1963-12-01,4.020054201
1964-01-01,4.072988812
1964-02-01,4.127466667
1964-03-01,4.180371353
1964-04-01,4.22962963
1964-05-01,4.279957582
1964-06-01,4.330275229
1964-07-01,4.37769595
1964-08-01,4.422869471
1964-09-01,4.469989282
1964-10-01,4.496555379
1964-11-01,4.523028057
1964-12-01,4.550677507
1965-01-01,4.593066667
1965-02-01,4.63655799
1965-03-01,4.680862534
1965-04-01,4.73211404
1965-05-01,4.787131367
1965-06-01,4.840068298
1965-07-01,4.885500575
1965-08-01,4.933827724
1965-09-01,4.979387187
1965-10-01,5.049171271
1965-11-01,5.119444444
1965-12-01,5.191284663
1966-01-01,5.239752948
1966-02-01,5.290525114
1966-03-01,5.341346154
1966-04-01,5.378743394
1966-05-01,5.420362274
1966-06-01,5.460659898
1966-07-01,5.477983408
1966-08-01,5.49386921
1966-09-01,5.510623229
1966-10-01,5.525071633
1966-11-01,5.535885167
1966-12-01,5.551535836
1967-01-01,5.516002613
1967-02-01,5.483992467
1967-03-01,5.449116392
1967-04-01,5.411064842
1967-05-01,5.370649652
1967-06-01,5.331195335
1967-07-01,5.320938215
1967-08-01,5.311410905
1967-09-01,5.299225664
1967-10-01,5.30854606
1967-11-01,5.319173364
1967-12-01,5.329977629
1968-01-01,5.366459627
1968-02-01,5.401785714
1968-03-01,5.438949939
1968-04-01,5.48252149
1968-05-01,5.526256352
1968-06-01,5.570953437
1968-07-01,5.600223339
1968-08-01,5.628800918
1968-09-01,5.659217877
1968-10-01,5.693911135
1968-11-01,5.725149375
1968-12-01,5.7598702
1969-01-01,5.779036827
1969-02-01,5.8
1969-03-01,5.82063306
1969-04-01,5.825186889
1969-05-01,5.833798104
1969-06-01,5.838633687
1969-07-01,5.857142857
1969-08-01,5.871571072
1969-09-01,5.88847352
1969-10-01,5.852941176
1969-11-01,5.816807739
1969-12-01,5.781091371
1970-01-01,5.730329949
1970-02-01,5.678175896
1970-03-01,5.628571429
1970-04-01,5.592062459
1970-05-01,5.555880205
1970-06-01,5.521548576
1970-07-01,5.467148014
1970-08-01,5.414871438
1970-09-01,5.358857884
1970-10-01,5.283030683
1970-11-01,5.20568252
1970-12-01,5.131054131
1971-01-01,5.159492274
1971-02-01,5.190272582
1971-03-01,5.220125786
1971-04-01,5.252422234
1971-05-01,5.28616025
1971-06-01,5.321237994
1971-07-01,5.357142857
1971-08-01,5.3932335
1971-09-01,5.428727471
1971-10-01,5.521566402
1971-11-01,5.609431681
1971-12-01,5.699425287
1972-01-01,5.735702388
1972-02-01,5.773874863
1972-03-01,5.809061489
1972-04-01,5.862068966
1972-05-01,5.917582418
1972-06-01,5.970149254
1972-07-01,6.025857223
1972-08-01,6.082191781
1972-09-01,6.139169473
1972-10-01,6.234357224
1972-11-01,6.327652556
1972-12-01,6.420765027
1973-01-01,6.545052515
1973-02-01,6.67445938
1973-03-01,6.799758016
1973-04-01,6.941472624
1973-05-01,7.085261071
1973-06-01,7.227586207
1973-07-01,7.383112352
1973-08-01,7.538126362
1973-09-01,7.691187181
1973-10-01,7.848463188
1973-11-01,8.006279435
1973-12-01,8.156626506
1974-01-01,8.22859589
1974-02-01,8.291925466
1974-03-01,8.3567753
1974-04-01,8.490358127
1974-05-01,8.613832853
1974-06-01,8.742940604
1974-07-01,8.861452514
1974-08-01,8.986997636
1974-09-01,9.106951872
1974-10-01,9.041666667
1974-11-01,8.9675
1974-12-01,8.895225464
1975-01-01,8.742168675
1975-02-01,8.594420601
1975-03-01,8.454086781
1975-04-01,8.28962818
1975-05-01,8.124436429
1975-06-01,7.958656331
1975-07-01,7.891638225
1975-08-01,7.82739726
1975-09-01,7.760769936
1975-10-01,7.824204947
1975-11-01,7.893952673
1975-12-01,7.962298025
1976-01-01,8.194585448
1976-02-01,8.425460637
1976-03-01,8.663239075
1976-04-01,8.853171156
1976-05-01,9.051878354
1976-06-01,9.246139873
1976-07-01,9.353680431
1976-08-01,9.45105215
1976-09-01,9.547511312
1976-10-01,9.667931689
1976-11-01,9.787234043
1976-12-01,9.905392621
1977-01-01,9.971181556
1977-02-01,10.01984127
1977-03-01,10.08016032
1977-04-01,10.19032922
1977-05-01,10.30897704
1977-06-01,10.41867786
1977-07-01,10.51416579
1977-08-01,10.61346363
1977-09-01,10.70411568
1977-10-01,10.77471264
1977-11-01,10.82433984
1977-12-01,10.88399072
1978-01-01,10.89975845
1978-02-01,10.90441176
1978-03-01,10.92496925
1978-04-01,11.02378121
1978-05-01,11.13257143
1978-06-01,11.22528736
1978-07-01,11.34072345
1978-08-01,11.4553473
1978-09-01,11.5701559
1978-10-01,11.8213866
1978-11-01,12.08035714
1978-12-01,12.33761232
1979-01-01,12.6535533
1979-02-01,12.97622193
1979-03-01,13.2934927
1979-04-01,13.52317881
1979-05-01,13.75586207
1979-06-01,13.98899587
1979-07-01,14.20470263
1979-08-01,14.41610738
1979-09-01,14.6361186
1979-10-01,14.697609
1979-11-01,14.79315264
1979-12-01,14.86896552
1980-01-01,15.0067659
1980-02-01,15.15111695
1980-03-01,15.28467153
1980-04-01,15.16936672
1980-05-01,15.06293706
1980-06-01,14.94132986
1980-07-01,14.84510533
1980-08-01,14.73747017
1980-09-01,14.6412037
1980-10-01,14.69525959
1980-11-01,14.76605005
1980-12-01,14.81687014
1981-01-01,14.74501109
1981-02-01,14.65753425
1981-03-01,14.57330416
1981-04-01,14.72070099
1981-05-01,14.86455982
1981-06-01,15.01702611
1981-07-01,15.0994152
1981-08-01,15.17564403
1981-09-01,15.26451613
1981-10-01,15.30012771
1981-11-01,15.32418953
1981-12-01,15.35980149
1982-01-01,15.17464424
1982-02-01,14.98691099
1982-03-01,14.81283422
1982-04-01,14.59222083
1982-05-01,14.3881335
1982-06-01,14.17312661
1982-07-01,13.97190294
1982-08-01,13.76411543
1982-09-01,13.55481728
1982-10-01,13.25674326
1982-11-01,12.94283037
1982-12-01,12.63825929
